SOURCE	TARGET	ENZYMES
C16300	C06427	1.14.19.-
C06428	C03242	3.1.2.2
C06428	C06426	3.1.2.2
C06428	C00249	3.1.2.2
C06428	C00712	3.1.2.2
C06428	C06429	3.1.2.2
C06428	C01595	3.1.2.2
C06428	C00219	3.1.2.2
C06428	C06427	3.1.2.2
C03242	C06429	3.1.2.2
C03242	C01595	3.1.2.2;6.2.1.3
C03242	C00249	3.1.2.2;6.2.1.3
C03242	C06426	3.1.2.2;6.2.1.3
C03242	C00219	3.1.2.2;6.2.1.3
C03242	C00712	3.1.2.2
C03242	C06427	3.1.2.2;6.2.1.3
C04717	C01595	;1.13.11.33;1.13.11.12
C06429	C06427	3.1.2.2
C06429	C01595	3.1.2.2
C06429	C00219	3.1.2.2
C06429	C00712	3.1.2.2
C06429	C00249	3.1.2.2
C06429	C06426	3.1.2.2
C00712	C01595	;3.1.2.14;3.1.2.2
C00712	C00249	;3.1.2.14;3.1.2.2
C00712	C06426	3.1.2.2
C00712	C06427	3.1.2.2
C00712	C00219	;3.1.2.2
C14827	C01595	1.13.11.34
C06427	C00219	3.1.1.4;3.1.2.2;6.2.1.3
C06427	C06426	3.1.2.2;6.2.1.3
C06427	C01595	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C06427	C00249	3.1.2.2;6.2.1.3
C01595	C14825	1.14.14.1
C01595	C14826	1.14.14.1
C01595	C00249	;3.1.2.14;3.1.2.2;6.2.1.3
C01595	C00219	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C01595	C06426	3.1.2.2;1.14.19.3;6.2.1.3
C00249	C06426	3.1.2.2;6.2.1.3
C00249	C00219	;3.1.2.2;6.2.1.3
C06426	C00219	3.1.2.2;6.2.1.3
